Country_Name,Country_Code,Indicator_Name,Indicator_Code,Year_Column,Value_Column
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1962,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1963,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1964,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1965,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1966,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1967,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1968,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1969,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1970,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1971,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1972,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1973,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1974,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1975,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1976,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1977,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1978,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1979,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1980,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1981,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1982,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1983,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1984,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1985,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1986,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1987,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1988,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1989,0.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1991,99.1536560058594
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1992,99.1971282958984
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1993,99.2399139404297
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1994,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1995,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1996,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1997,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,91.660400390625
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2005,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2006,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2007,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2008,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2009,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2010,93.3562927246094
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2011,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2012,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2013,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,100.0
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1962,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1963,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1964,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1965,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1966,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1967,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1968,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1969,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1970,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1971,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1972,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1973,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1974,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1975,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1976,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1977,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1978,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1979,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1980,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1981,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1982,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1983,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1984,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1985,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1986,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1987,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1988,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1989,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1990,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1991,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1992,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1993,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1994,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1995,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1996,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1997,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1998,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,1999,0.0
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2000,19.8112830487474
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2001,19.9005689869631
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2002,21.5258119502625
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2003,22.474309042094
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2004,23.7819183655274
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2005,23.4874149559786
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2006,24.7635379213968
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2007,26.7665177602956
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2008,25.9341794754403
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2009,26.1815567981524
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2010,27.5571371356059
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2011,29.0898268292514
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2012,31.8443844038242
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2013,31.794159992766
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2014,32.001026781227
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2015,33.8719104646129
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2016,38.8801732244203
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2017,40.261357595893
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2018,43.061876950924
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2019,44.2708604789338
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2020,45.8034852293868
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,2021,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1960,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1961,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1962,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1963,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1964,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1965,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1966,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1967,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1968,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1969,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1970,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1971,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1972,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1973,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1974,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1975,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1976,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1977,0.0
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,1978,0.0
